# Deltac,La per Al,temperature,ozone
nan,1.29,680,22
0.04,0.91,735,13
nan,1.15,860,25
nan,0.9,600,5.5
0.08,0.84,783,18
nan,0.5,897,5.5
nan,1.5,603,5
nan,0.51,898,25
0.031,0.9,736,13
0.054,0.84,735,13
nan,0.5,602,5
0.03,0.92,747,12.5
0.036,0.94,750,13
0.028,0.9,741,11.5
0.038,0.88,741,12.5
nan,0.86,695,14
0.03,0.93,740,12
0.025,0.94,752,11
nan,1.14,795,8.5
0.028,0.92,753,11.5
0.031,0.96,736,10.5
nan,0.51,607,25
nan,1.5,896,17
0.017,0.85,760,9.5
0.021,0.87,755,10
0.016,0.88,768,10
0.013,0.87,772,10
nan,0.76,776,6.5
0.015,0.85,784,11
nan,1.5,600,25
0.023,0.85,772,11
0.01,0.9,789,10.5
0.007,0.88,900,12
nan,0.7,900,13.5
0.015,1,897,11
0.003,0.9,899,8.5
0.006,0.9,878,10
0.008,0.97,900,5.5
0.013,0.95,900,8.5
nan,1.5,897,5
0.004,0.85,900,6
0.004,0.88,899,8
0,0.88,888,7
