Int_optimized,Int_unoptimized,two_theta_optimized,two_theta_unoptimized
3,1,42,42
3,3,42.002,42.002
1,3,42.004,42.004
2,2,42.006,42.006
2,2,42.008,42.008
1,3,42.01,42.01
0,1,42.012,42.012
2,0,42.014,42.014
1,2,42.016,42.016
4,2,42.018,42.018
2,2,42.02,42.02
0,2,42.022,42.022
1,3,42.024,42.024
0,0,42.026,42.026
2,4,42.028,42.028
3,3,42.03,42.03
4,0,42.032,42.032
1,3,42.034,42.034
3,1,42.036,42.036
0,0,42.038,42.038
2,0,42.04,42.04
0,2,42.042,42.042
0,1,42.044,42.044
1,2,42.046,42.046
3,1,42.048,42.048
2,4,42.05,42.05
0,1,42.052,42.052
1,0,42.054,42.054
1,1,42.056,42.056
1,0,42.058,42.058
0,2,42.06,42.06
0,0,42.062,42.062
2,1,42.064,42.064
0,0,42.066,42.066
0,2,42.068,42.068
2,5,42.07,42.07
0,2,42.072,42.072
1,2,42.074,42.074
1,3,42.076,42.076
1,0,42.078,42.078
0,3,42.08,42.08
1,2,42.082,42.082
1,1,42.084,42.084
1,1,42.086,42.086
1,1,42.088,42.088
1,3,42.09,42.09
0,2,42.092,42.092
0,1,42.094,42.094
1,1,42.096,42.096
1,0,42.098,42.098
0,3,42.1,42.1
1,0,42.102,42.102
1,1,42.104,42.104
1,1,42.106,42.106
0,1,42.108,42.108
2,2,42.11,42.11
2,3,42.112,42.112
1,2,42.114,42.114
0,1,42.116,42.116
2,1,42.118,42.118
1,2,42.12,42.12
1,0,42.122,42.122
2,0,42.124,42.124
2,1,42.126,42.126
0,1,42.128,42.128
1,0,42.13,42.13
2,0,42.132,42.132
1,2,42.134,42.134
0,0,42.136,42.136
2,4,42.138,42.138
1,1,42.14,42.14
0,1,42.142,42.142
2,0,42.144,42.144
0,1,42.146,42.146
1,0,42.148,42.148
0,2,42.15,42.15
1,1,42.152,42.152
1,0,42.154,42.154
0,1,42.156,42.156
0,1,42.158,42.158
0,0,42.16,42.16
0,2,42.162,42.162
4,1,42.164,42.164
1,0,42.166,42.166
1,0,42.168,42.168
0,1,42.17,42.17
0,1,42.172,42.172
0,0,42.174,42.174
0,1,42.176,42.176
0,0,42.178,42.178
1,0,42.18,42.18
1,0,42.182,42.182
0,1,42.184,42.184
1,2,42.186,42.186
1,0,42.188,42.188
3,1,42.19,42.19
2,0,42.192,42.192
1,1,42.194,42.194
0,1,42.196,42.196
1,1,42.198,42.198
0,0,42.2,42.2
2,1,42.202,42.202
0,0,42.204,42.204
3,1,42.206,42.206
0,0,42.208,42.208
4,1,42.21,42.21
2,1,42.212,42.212
0,0,42.214,42.214
0,1,42.216,42.216
2,5,42.218,42.218
0,0,42.22,42.22
0,0,42.222,42.222
1,0,42.224,42.224
0,1,42.226,42.226
0,1,42.228,42.228
6,0,42.23,42.23
1,1,42.232,42.232
1,0,42.234,42.234
3,0,42.236,42.236
1,1,42.238,42.238
1,0,42.24,42.24
3,1,42.242,42.242
0,1,42.244,42.244
0,5,42.246,42.246
0,3,42.248,42.248
1,1,42.25,42.25
0,1,42.252,42.252
0,1,42.254,42.254
0,0,42.256,42.256
1,0,42.258,42.258
4,0,42.26,42.26
2,0,42.262,42.262
0,4,42.264,42.264
0,2,42.266,42.266
1,1,42.268,42.268
1,0,42.27,42.27
3,3,42.272,42.272
4,2,42.274,42.274
2,1,42.276,42.276
0,1,42.278,42.278
1,1,42.28,42.28
0,1,42.282,42.282
0,1,42.284,42.284
0,2,42.286,42.286
0,0,42.288,42.288
0,1,42.29,42.29
1,1,42.292,42.292
2,0,42.294,42.294
0,1,42.296,42.296
0,0,42.298,42.298
1,2,42.3,42.3
2,0,42.302,42.302
1,0,42.304,42.304
1,2,42.306,42.306
2,1,42.308,42.308
1,3,42.31,42.31
2,1,42.312,42.312
0,0,42.314,42.314
0,2,42.316,42.316
0,0,42.318,42.318
0,1,42.32,42.32
1,0,42.322,42.322
1,1,42.324,42.324
1,0,42.326,42.326
1,1,42.328,42.328
0,0,42.33,42.33
0,0,42.332,42.332
0,1,42.334,42.334
1,1,42.336,42.336
1,2,42.338,42.338
0,1,42.34,42.34
0,0,42.342,42.342
1,1,42.344,42.344
4,1,42.346,42.346
0,0,42.348,42.348
4,1,42.35,42.35
0,2,42.352,42.352
0,0,42.354,42.354
0,1,42.356,42.356
2,0,42.358,42.358
1,0,42.36,42.36
1,0,42.362,42.362
1,0,42.364,42.364
1,0,42.366,42.366
2,2,42.368,42.368
0,0,42.37,42.37
1,0,42.372,42.372
0,3,42.374,42.374
2,2,42.376,42.376
1,2,42.378,42.378
1,1,42.38,42.38
2,1,42.382,42.382
1,1,42.384,42.384
0,1,42.386,42.386
3,4,42.388,42.388
0,2,42.39,42.39
1,1,42.392,42.392
0,1,42.394,42.394
0,3,42.396,42.396
2,1,42.398,42.398
0,0,42.4,42.4
0,3,42.402,42.402
0,0,42.404,42.404
2,0,42.406,42.406
4,2,42.408,42.408
1,0,42.41,42.41
1,0,42.412,42.412
0,0,42.414,42.414
2,1,42.416,42.416
1,0,42.418,42.418
1,2,42.42,42.42
3,0,42.422,42.422
1,0,42.424,42.424
0,1,42.426,42.426
1,0,42.428,42.428
1,3,42.43,42.43
0,1,42.432,42.432
1,0,42.434,42.434
2,1,42.436,42.436
1,0,42.438,42.438
1,1,42.44,42.44
1,3,42.442,42.442
0,3,42.444,42.444
2,0,42.446,42.446
0,0,42.448,42.448
0,0,42.45,42.45
0,0,42.452,42.452
0,3,42.454,42.454
0,1,42.456,42.456
2,1,42.458,42.458
2,2,42.46,42.46
1,0,42.462,42.462
0,1,42.464,42.464
1,2,42.466,42.466
2,0,42.468,42.468
1,1,42.47,42.47
3,3,42.472,42.472
1,0,42.474,42.474
0,2,42.476,42.476
1,1,42.478,42.478
1,1,42.48,42.48
2,2,42.482,42.482
1,0,42.484,42.484
0,0,42.486,42.486
3,0,42.488,42.488
1,2,42.49,42.49
1,1,42.492,42.492
1,0,42.494,42.494
0,1,42.496,42.496
0,3,42.498,42.498
2,1,42.5,42.5
0,0,42.502,42.502
0,1,42.504,42.504
1,0,42.506,42.506
3,1,42.508,42.508
1,0,42.51,42.51
1,0,42.512,42.512
1,0,42.514,42.514
1,0,42.516,42.516
1,3,42.518,42.518
0,1,42.52,42.52
0,1,42.522,42.522
1,1,42.524,42.524
1,1,42.526,42.526
0,1,42.528,42.528
1,0,42.53,42.53
1,1,42.532,42.532
3,0,42.534,42.534
4,1,42.536,42.536
1,0,42.538,42.538
4,1,42.54,42.54
1,2,42.542,42.542
1,1,42.544,42.544
2,1,42.546,42.546
2,0,42.548,42.548
2,2,42.55,42.55
0,1,42.552,42.552
0,0,42.554,42.554
1,0,42.556,42.556
1,3,42.558,42.558
2,2,42.56,42.56
1,2,42.562,42.562
0,0,42.564,42.564
1,0,42.566,42.566
1,0,42.568,42.568
2,1,42.57,42.57
1,2,42.572,42.572
0,1,42.574,42.574
0,1,42.576,42.576
1,1,42.578,42.578
2,2,42.58,42.58
1,0,42.582,42.582
1,1,42.584,42.584
0,1,42.586,42.586
1,1,42.588,42.588
0,1,42.59,42.59
1,0,42.592,42.592
1,0,42.594,42.594
1,1,42.596,42.596
1,1,42.598,42.598
2,2,42.6,42.6
2,2,42.602,42.602
0,1,42.604,42.604
1,1,42.606,42.606
2,1,42.608,42.608
1,0,42.61,42.61
0,0,42.612,42.612
1,1,42.614,42.614
3,0,42.616,42.616
2,1,42.618,42.618
0,1,42.62,42.62
1,4,42.622,42.622
0,2,42.624,42.624
3,1,42.626,42.626
1,1,42.628,42.628
1,1,42.63,42.63
1,0,42.632,42.632
1,0,42.634,42.634
0,2,42.636,42.636
1,2,42.638,42.638
2,2,42.64,42.64
0,2,42.642,42.642
2,3,42.644,42.644
0,1,42.646,42.646
3,1,42.648,42.648
2,1,42.65,42.65
2,1,42.652,42.652
0,0,42.654,42.654
2,3,42.656,42.656
0,1,42.658,42.658
2,1,42.66,42.66
0,2,42.662,42.662
0,0,42.664,42.664
0,3,42.666,42.666
0,0,42.668,42.668
0,1,42.67,42.67
0,3,42.672,42.672
0,1,42.674,42.674
1,1,42.676,42.676
1,2,42.678,42.678
0,1,42.68,42.68
2,3,42.682,42.682
1,1,42.684,42.684
0,0,42.686,42.686
2,1,42.688,42.688
0,1,42.69,42.69
2,1,42.692,42.692
0,0,42.694,42.694
3,1,42.696,42.696
3,0,42.698,42.698
0,1,42.7,42.7
