Int_LAO_sun,Int_optimized,two_theta_LAO_sub,two_theta_optimized
1,2,20,20
1,3,20.002,20.002
4,5,20.004,20.004
2,1,20.006,20.006
0,1,20.008,20.008
1,2,20.01,20.01
3,3,20.012,20.012
1,4,20.014,20.014
2,1,20.016,20.016
0,5,20.018,20.018
4,3,20.02,20.02
5,3,20.022,20.022
1,2,20.024,20.024
1,1,20.026,20.026
1,2,20.028,20.028
4,1,20.03,20.03
5,2,20.032,20.032
4,2,20.034,20.034
0,1,20.036,20.036
3,2,20.038,20.038
4,2,20.04,20.04
2,0,20.042,20.042
1,1,20.044,20.044
1,3,20.046,20.046
1,5,20.048,20.048
1,2,20.05,20.05
1,4,20.052,20.052
4,4,20.054,20.054
1,0,20.056,20.056
3,5,20.058,20.058
2,3,20.06,20.06
2,3,20.062,20.062
5,0,20.064,20.064
0,4,20.066,20.066
2,6,20.068,20.068
2,5,20.07,20.07
3,3,20.072,20.072
0,1,20.074,20.074
3,1,20.076,20.076
1,2,20.078,20.078
4,2,20.08,20.08
2,4,20.082,20.082
3,3,20.084,20.084
3,2,20.086,20.086
0,0,20.088,20.088
4,1,20.09,20.09
2,3,20.092,20.092
1,2,20.094,20.094
5,2,20.096,20.096
0,0,20.098,20.098
1,3,20.1,20.1
3,3,20.102,20.102
1,3,20.104,20.104
0,2,20.106,20.106
2,1,20.108,20.108
2,2,20.11,20.11
3,1,20.112,20.112
2,1,20.114,20.114
3,2,20.116,20.116
2,2,20.118,20.118
2,5,20.12,20.12
2,3,20.122,20.122
2,4,20.124,20.124
1,1,20.126,20.126
0,2,20.128,20.128
0,1,20.13,20.13
3,4,20.132,20.132
1,4,20.134,20.134
1,2,20.136,20.136
2,0,20.138,20.138
2,3,20.14,20.14
3,4,20.142,20.142
1,2,20.144,20.144
4,2,20.146,20.146
1,2,20.148,20.148
1,3,20.15,20.15
2,2,20.152,20.152
1,1,20.154,20.154
2,3,20.156,20.156
2,3,20.158,20.158
4,2,20.16,20.16
1,2,20.162,20.162
0,1,20.164,20.164
2,1,20.166,20.166
0,2,20.168,20.168
1,3,20.17,20.17
1,3,20.172,20.172
1,3,20.174,20.174
0,0,20.176,20.176
1,3,20.178,20.178
1,3,20.18,20.18
1,3,20.182,20.182
2,3,20.184,20.184
2,1,20.186,20.186
0,0,20.188,20.188
6,1,20.19,20.19
2,1,20.192,20.192
2,6,20.194,20.194
2,1,20.196,20.196
0,3,20.198,20.198
3,1,20.2,20.2
2,1,20.202,20.202
1,0,20.204,20.204
3,2,20.206,20.206
6,1,20.208,20.208
0,5,20.21,20.21
3,2,20.212,20.212
0,3,20.214,20.214
1,2,20.216,20.216
0,2,20.218,20.218
0,3,20.22,20.22
1,2,20.222,20.222
2,3,20.224,20.224
0,0,20.226,20.226
3,1,20.228,20.228
1,0,20.23,20.23
1,4,20.232,20.232
4,5,20.234,20.234
2,2,20.236,20.236
3,3,20.238,20.238
2,3,20.24,20.24
2,1,20.242,20.242
3,1,20.244,20.244
2,5,20.246,20.246
3,3,20.248,20.248
1,3,20.25,20.25
3,1,20.252,20.252
2,0,20.254,20.254
2,4,20.256,20.256
